instance;sol#
uf100-01000;16963
uf100-0100;120433
uf100-0101;19816
uf100-0102;1718
uf100-0103;984
uf100-0104;42
uf100-0105;16934
uf100-0106;7612
uf100-0107;180
uf100-0108;2740
uf100-0109;28
uf100-010;1236
uf100-0110;800
uf100-0111;12540
uf100-0112;352
uf100-0113;32
uf100-0114;48
uf100-0115;45916
uf100-0116;2160
uf100-0117;10496
uf100-0118;15620
uf100-0119;105244
uf100-011;680
uf100-0120;1616
uf100-0121;304
uf100-0122;40
uf100-0123;64
uf100-0124;4332
uf100-0125;1600
uf100-0126;248
uf100-0127;120
uf100-0128;844
uf100-0129;60
uf100-012;12503
uf100-0130;172
uf100-0131;1068
uf100-0132;2094
uf100-0133;144
uf100-0134;2256
uf100-0135;1736
uf100-0136;5741037
uf100-0137;3960
uf100-0138;33350
uf100-0139;3080
uf100-013;38080
uf100-0140;10008
uf100-0141;14
uf100-0142;2320
uf100-0143;192
uf100-0144;13064
uf100-0145;3802
uf100-0146;256
uf100-0147;355944
uf100-0148;252
uf100-0149;1051361
uf100-014;1508
uf100-0150;127243
uf100-0151;768048
uf100-0152;60
uf100-0153;21863
uf100-0154;192
uf100-0155;29070
uf100-0156;5612
uf100-0157;37816
uf100-0158;7840
uf100-0159;577
uf100-015;632
uf100-0160;28
uf100-0161;397466
uf100-0162;162
uf100-0163;3864
uf100-0164;1835135
uf100-0165;40960
uf100-0166;20052
uf100-0167;117624
uf100-0168;976
uf100-0169;3988
uf100-016;96
uf100-0170;2809
uf100-0171;72
uf100-0172;28718
uf100-0173;3452
uf100-0174;29142
uf100-0175;8678
uf100-0176;96912
uf100-0177;79428
uf100-0178;624
uf100-0179;11740
uf100-017;3548
uf100-0180;186
uf100-0181;7460
uf100-0182;372224
uf100-0183;144
uf100-0184;16332
uf100-0185;827410
uf100-0186;5696
uf100-0187;44036
uf100-0188;470795
uf100-0189;2186073
uf100-018;10612
uf100-0190;59422
uf100-0191;70
uf100-0192;1254
uf100-0193;11268
uf100-0194;990
uf100-0195;9856
uf100-0196;584
uf100-0197;64536
uf100-0198;42656
uf100-0199;1748
uf100-019;416492
uf100-01;314
uf100-0200;21487
uf100-0201;13338
uf100-0202;2998
uf100-0203;104092
uf100-0204;31403
uf100-0205;53666
uf100-0206;7552
uf100-0207;36672
uf100-0208;48430
uf100-0209;588
uf100-020;3212
uf100-0210;2616
uf100-0211;1208
uf100-0212;456
uf100-0213;2528
uf100-0214;2760
uf100-0215;51541
uf100-0216;91064
uf100-0217;212
uf100-0218;41676
uf100-0219;280
uf100-021;16
uf100-0220;304
uf100-0221;184
uf100-0222;872
uf100-0223;4046
uf100-0224;24
uf100-0225;5400
uf100-0226;72
uf100-0227;844
uf100-0228;62380
uf100-0229;1292
uf100-022;240
uf100-0230;59652
uf100-0231;494
uf100-0232;118882
uf100-0233;1730
uf100-0234;118
uf100-0235;43536
uf100-0236;982
uf100-0237;2744
uf100-0238;1376
uf100-0239;50
uf100-023;2304
uf100-0240;5500
uf100-0241;368
uf100-0242;19800
uf100-0243;690
uf100-0244;32
uf100-0245;155660
uf100-0246;1584
uf100-0247;124
uf100-0248;23355
uf100-0249;3320
uf100-024;17633
uf100-0250;61
uf100-0251;2340
uf100-0252;12632
uf100-0253;3240
uf100-0254;932
uf100-0255;546
uf100-0256;29732
uf100-0257;15832
uf100-0258;12363
uf100-0259;1217
uf100-025;14292
uf100-0260;79192
uf100-0261;336
uf100-0262;136
uf100-0263;151
uf100-0264;11554
uf100-0265;481658
uf100-0266;112
uf100-0267;2356
uf100-0268;4128
uf100-0269;45972
uf100-026;124
uf100-0270;159
uf100-0271;144
uf100-0272;3456
uf100-0273;224
uf100-0274;21
uf100-0275;5352
uf100-0276;8
uf100-0277;23694
uf100-0278;62142
uf100-0279;30126
uf100-027;38515
uf100-0280;17072
uf100-0281;700
uf100-0282;11118
uf100-0283;16
uf100-0284;418360
uf100-0285;4
uf100-0286;6776
uf100-0287;560
uf100-0288;32
uf100-0289;1896
uf100-028;18258
uf100-0290;768
uf100-0291;36470
uf100-0292;24144
uf100-0293;4322
uf100-0294;38698
uf100-0295;5648
uf100-0296;29036
uf100-0297;13924
uf100-0298;44992
uf100-0299;932
uf100-029;58744
uf100-02;196
uf100-0300;46112
uf100-0301;58256
uf100-0302;4864
uf100-0303;54
uf100-0304;8248
uf100-0305;204235
uf100-0306;112006
uf100-0307;26328
uf100-0308;1848
uf100-0309;200
uf100-030;3486
uf100-0310;79366
uf100-0311;4920
uf100-0312;17536
uf100-0313;1232
uf100-0314;2648
uf100-0315;5636
uf100-0316;776
uf100-0317;240
uf100-0318;33468
uf100-0319;2016
uf100-031;985
uf100-0320;11862
uf100-0321;767795
uf100-0322;1068
uf100-0323;11848
uf100-0324;54380
uf100-0325;96
uf100-0326;8
uf100-0327;8576
uf100-0328;3576
uf100-0329;56714
uf100-032;60
uf100-0330;186
uf100-0331;512
uf100-0332;447899
uf100-0333;2474
uf100-0334;35720
uf100-0335;104
uf100-0336;2304
uf100-0337;60736
uf100-0338;16272
uf100-0339;384
uf100-033;96
uf100-0340;9012
uf100-0341;11496
uf100-0342;4238456
uf100-0343;420
uf100-0344;1966
uf100-0345;16470
uf100-0346;4856
uf100-0347;704
uf100-0348;8448
uf100-0349;96
uf100-034;39272
uf100-0350;52
uf100-0351;33386
uf100-0352;774
uf100-0353;1656
uf100-0354;107652
uf100-0355;108
uf100-0356;100628
uf100-0357;2564
uf100-0358;39678
uf100-0359;120
uf100-035;454
uf100-0360;3096
uf100-0361;11688
uf100-0362;3502
uf100-0363;13884
uf100-0364;34441
uf100-0365;1028
uf100-0366;1952
uf100-0367;1880
uf100-0368;456
uf100-0369;15338
uf100-036;36
uf100-0370;432
uf100-0371;384
uf100-0372;16632
uf100-0373;1032
uf100-0374;1964
uf100-0375;436114
uf100-0376;1002023
uf100-0377;1036
uf100-0378;29164
uf100-0379;104
uf100-037;4080
uf100-0380;162
uf100-0381;5248
uf100-0382;624
uf100-0383;872
uf100-0384;4650
uf100-0385;3096
uf100-0386;1220
uf100-0387;36
uf100-0388;10160
uf100-0389;15280
uf100-038;7402
uf100-0390;384
uf100-0391;200
uf100-0392;136
uf100-0393;720
uf100-0394;2592
uf100-0395;64
uf100-0396;20386
uf100-0397;1344
uf100-0398;1408
uf100-0399;2352
uf100-039;124834
uf100-03;7064
uf100-0400;356
uf100-0401;901585
uf100-0402;1872
uf100-0403;600
uf100-0404;6016
uf100-0405;84
uf100-0406;8965
uf100-0407;16
uf100-0408;16300
uf100-0409;2088
uf100-040;126
uf100-0410;18196
uf100-0411;1642
uf100-0412;117480
uf100-0413;1602
uf100-0414;4480
uf100-0415;288
uf100-0416;176
uf100-0417;28
uf100-0418;93518
uf100-0419;1158
uf100-041;39210
uf100-0420;17064
uf100-0421;20
uf100-0422;7356
uf100-0423;1132
uf100-0424;3240
uf100-0425;667
uf100-0426;22334
uf100-0427;940
uf100-0428;192
uf100-0429;60
uf100-042;828
uf100-0430;312
uf100-0431;4846
uf100-0432;2676
uf100-0433;696
uf100-0434;67334
uf100-0435;18688
uf100-0436;952
uf100-0437;15264
uf100-0438;381434
uf100-0439;234
uf100-043;43012
uf100-0440;5794
uf100-0441;4
uf100-0442;576
uf100-0443;198058
uf100-0444;165
uf100-0445;2745240
uf100-0446;2242
uf100-0447;190413
uf100-0448;952
uf100-0449;12428
uf100-044;5568
uf100-0450;272198
uf100-0451;1042
uf100-0452;366
uf100-0453;28512
uf100-0454;6108
uf100-0455;96
uf100-0456;154008
uf100-0457;8586
uf100-0458;23685
uf100-0459;14344
uf100-045;72
uf100-0460;26590
uf100-0461;4106
uf100-0462;48
uf100-0463;38
uf100-0464;23072
uf100-0465;182584
uf100-0466;26650
uf100-0467;24076
uf100-0468;31
uf100-0469;21458
uf100-046;27
uf100-0470;305812
uf100-0471;68
uf100-0472;12
uf100-0473;292
uf100-0474;225
uf100-0475;4538
uf100-0476;2418
uf100-0477;330
uf100-0478;216
uf100-0479;5573
uf100-047;64
uf100-0480;240
uf100-0481;3007
uf100-0482;2924
uf100-0483;3122
uf100-0484;29024
uf100-0485;24986
uf100-0486;850925
uf100-0487;5192
uf100-0488;84
uf100-0489;42276
uf100-048;2024
uf100-0490;1728
uf100-0491;22483
uf100-0492;128
uf100-0493;16
uf100-0494;2713322
uf100-0495;1288
uf100-0496;6121
uf100-0497;339956
uf100-0498;648
uf100-0499;16
uf100-049;68
uf100-04;5802
uf100-0500;376
uf100-0501;716
uf100-0502;24
uf100-0503;288
uf100-0504;4408
uf100-0505;9532
uf100-0506;25638
uf100-0507;7022
uf100-0508;49044
uf100-0509;24
uf100-050;6384
uf100-0510;10170
uf100-0511;7390
uf100-0512;4882
uf100-0513;2774
uf100-0514;5480
uf100-0515;5964
uf100-0516;41157380
uf100-0517;3552
uf100-0518;24088
uf100-0519;56
uf100-051;7640
uf100-0520;9808
uf100-0521;1320467
uf100-0522;155940
uf100-0523;160
uf100-0524;360
uf100-0525;374404
uf100-0526;388472
uf100-0527;830
uf100-0528;2952
uf100-0529;264820
uf100-052;112
uf100-0530;22740
uf100-0531;626
uf100-0532;109632
uf100-0533;942
uf100-0534;192
uf100-0535;15622
uf100-0536;7852
uf100-0537;2718
uf100-0538;31292
uf100-0539;240
uf100-053;144
uf100-0540;973273
uf100-0541;10926
uf100-0542;32
uf100-0543;44
uf100-0544;1152
uf100-0545;149978
uf100-0546;1508
uf100-0547;1330
uf100-0548;1872
uf100-0549;72548
uf100-054;688
uf100-0550;3898
uf100-0551;764
uf100-0552;660
uf100-0553;34834
uf100-0554;46796
uf100-0555;10650
uf100-0556;3108
uf100-0557;24
uf100-0558;6
uf100-0559;9512
uf100-055;4428
uf100-0560;512
uf100-0561;1226
uf100-0562;142386
uf100-0563;6330
uf100-0564;2036
uf100-0565;312
uf100-0566;30
uf100-0567;720
uf100-0568;77
uf100-0569;600
uf100-056;848
uf100-0570;17041
uf100-0571;30948
uf100-0572;1420
uf100-0573;69008
uf100-0574;3408
uf100-0575;40
uf100-0576;7072
uf100-0577;2010
uf100-0578;5688
uf100-0579;9072
uf100-057;1696
uf100-0580;1119
uf100-0581;270890
uf100-0582;3726
uf100-0583;9744
uf100-0584;1422
uf100-0585;768
uf100-0586;2528
uf100-0587;14832
uf100-0588;14270
uf100-0589;60328
uf100-058;918
uf100-0590;204
uf100-0591;576
uf100-0592;42
uf100-0593;29008
uf100-0594;130434
uf100-0595;2080
uf100-0596;8
uf100-0597;15340
uf100-0598;176
uf100-0599;6436
uf100-059;8
uf100-05;832
uf100-0600;128
uf100-0601;33531
uf100-0602;6
uf100-0603;4432
uf100-0604;6864
uf100-0605;143
uf100-0606;2648
uf100-0607;5424
uf100-0608;240
uf100-0609;49186
uf100-060;234
uf100-0610;4928
uf100-0611;332
uf100-0612;164644
uf100-0613;18504
uf100-0614;2280
uf100-0615;4416
uf100-0616;5412
uf100-0617;8384
uf100-0618;5124
uf100-0619;304
uf100-061;313
uf100-0620;5240
uf100-0621;1280
uf100-0622;6312
uf100-0623;154
uf100-0624;817
uf100-0625;1562
uf100-0626;432
uf100-0627;284
uf100-0628;892
uf100-0629;24
uf100-062;192
uf100-0630;85833
uf100-0631;1399
uf100-0632;1632
uf100-0633;7312
uf100-0634;960
uf100-0635;10620
uf100-0636;3296
uf100-0637;378
uf100-0638;9958
uf100-0639;1760
uf100-063;440
uf100-0640;141696
uf100-0641;134732
uf100-0642;32
uf100-0643;197
uf100-0644;88
uf100-0645;198891
uf100-0646;580
uf100-0647;6688
uf100-0648;1212
uf100-0649;25742
uf100-064;142403
uf100-0650;5734
uf100-0651;11054
uf100-0652;2512
uf100-0653;15088
uf100-0654;432
uf100-0655;896
uf100-0656;192
uf100-0657;1162
uf100-0658;211
uf100-0659;384
uf100-065;352
uf100-0660;480
uf100-0661;216452
uf100-0662;29514
uf100-0663;16184
uf100-0664;74689
uf100-0665;493580
uf100-0666;56
uf100-0667;96
uf100-0668;166
uf100-0669;17288
uf100-066;1261
uf100-0670;720
uf100-0671;792
uf100-0672;5427
uf100-0673;352
uf100-0674;768
uf100-0675;312
uf100-0676;18240
uf100-0677;69316
uf100-0678;4
uf100-0679;28776
uf100-067;675
uf100-0680;10936
uf100-0681;80
uf100-0682;9502
uf100-0683;1818
uf100-0684;1122
uf100-0685;3704
uf100-0686;416
uf100-0687;24988
uf100-0688;14156
uf100-0689;576
uf100-068;293
uf100-0690;128
uf100-0691;14196
uf100-0692;25132
uf100-0693;2528
uf100-0694;144
uf100-0695;968
uf100-0696;400
uf100-0697;1247
uf100-0698;25336
uf100-0699;56
uf100-069;629
uf100-06;138537527
uf100-0700;94123
uf100-0701;73970
uf100-0702;160
uf100-0703;1508
uf100-0704;35561252
uf100-0705;8743
uf100-0706;84470
uf100-0707;968
uf100-0708;5584
uf100-0709;36598
uf100-070;15030713
uf100-0710;1075833
uf100-0711;2153675
uf100-0712;392
uf100-0713;6784
uf100-0714;36
uf100-0715;152
uf100-0716;8000
uf100-0717;8056924
uf100-0718;249060
uf100-0719;702
uf100-071;200648
uf100-0720;2936
uf100-0721;213200
uf100-0722;272
uf100-0723;924
uf100-0724;1380
uf100-0725;760
uf100-0726;7010
uf100-0727;285462
uf100-0728;153772
uf100-0729;312
uf100-072;68
uf100-0730;48622
uf100-0731;44
uf100-0732;1728
uf100-0733;18
uf100-0734;530690
uf100-0735;107434
uf100-0736;848
uf100-0737;32532
uf100-0738;50252
uf100-0739;2332
uf100-073;3780
uf100-0740;5614
uf100-0741;2432
uf100-0742;256
uf100-0743;27073
uf100-0744;2592
uf100-0745;124
uf100-0746;413271
uf100-0747;516
uf100-0748;3278
uf100-0749;4114
uf100-074;262672
uf100-0750;980
uf100-0751;832
uf100-0752;3528
uf100-0753;2304
uf100-0754;43484
uf100-0755;7580
uf100-0756;51819
uf100-0757;189996
uf100-0758;391884
uf100-0759;10320
uf100-075;10432
uf100-0760;220
uf100-0761;450326
uf100-0762;900
uf100-0763;77769
uf100-0764;9692
uf100-0765;80723
uf100-0766;14374546
uf100-0767;104568
uf100-0768;6840
uf100-0769;18132
uf100-076;512
uf100-0770;330798
uf100-0771;1668
uf100-0772;35584
uf100-0773;65036
uf100-0774;130
uf100-0775;245428
uf100-0776;4136352
uf100-0777;214956
uf100-0778;91400
uf100-0779;788546
uf100-077;498490
uf100-0780;21
uf100-0781;29748
uf100-0782;84280
uf100-0783;88242
uf100-0784;24
uf100-0785;6544
uf100-0786;492
uf100-0787;22902
uf100-0788;46463
uf100-0789;216
uf100-078;300
uf100-0790;22930
uf100-0791;93278
uf100-0792;195430
uf100-0793;24399077
uf100-0794;1648
uf100-0795;1776
uf100-0796;44
uf100-0797;39128
uf100-0798;2496
uf100-0799;20306
uf100-079;100388
uf100-07;162418
uf100-0800;28488
uf100-0801;3504
uf100-0802;204
uf100-0803;968
uf100-0804;936
uf100-0805;314499
uf100-0806;309590
uf100-0807;15664
uf100-0808;6
uf100-0809;49688
uf100-080;1040
uf100-0810;4770
uf100-0811;1079
uf100-0812;246
uf100-0813;36
uf100-0814;1088
uf100-0815;129742
uf100-0816;33633
uf100-0817;5002
uf100-0818;1945
uf100-0819;212
uf100-081;24
uf100-0820;550990
uf100-0821;1408
uf100-0822;1548472
uf100-0823;509011
uf100-0824;132
uf100-0825;1788
uf100-0826;2464
uf100-0827;96
uf100-0828;4822
uf100-0829;79024
uf100-082;42
uf100-0830;435916
uf100-0831;12
uf100-0832;14498
uf100-0833;22428
uf100-0834;6463180
uf100-0835;3360
uf100-0836;3935624
uf100-0837;4899865
uf100-0838;3667
uf100-0839;1440
uf100-083;3288
uf100-0840;24224
uf100-0841;291004
uf100-0842;149392
uf100-0843;142012
uf100-0844;224
uf100-0845;7962
uf100-0846;1152
uf100-0847;762
uf100-0848;1648
uf100-0849;10276
uf100-084;1216
uf100-0850;80
uf100-0851;28370
uf100-0852;136
uf100-0853;80
uf100-0854;73536
uf100-0855;32
uf100-0856;2328
uf100-0857;1016
uf100-0858;482752
uf100-0859;136
uf100-085;368
uf100-0860;6948
uf100-0861;13272
uf100-0862;49804
uf100-0863;121125
uf100-0864;32
uf100-0865;35
uf100-0866;31896
uf100-0867;14
uf100-0868;220521
uf100-0869;148083
uf100-086;48408
uf100-0870;588
uf100-0871;13640
uf100-0872;81424
uf100-0873;10004
uf100-0874;21736
uf100-0875;66778
uf100-0876;28386
uf100-0877;83088
uf100-0878;720
uf100-0879;168
uf100-087;24394
uf100-0880;2688
uf100-0881;85368
uf100-0882;17324
uf100-0883;11160
uf100-0884;2656
uf100-0885;219168
uf100-0886;7252
uf100-0887;4532
uf100-0888;684
uf100-0889;36
uf100-088;752
uf100-0890;8114
uf100-0891;125314
uf100-0892;820813
uf100-0893;128
uf100-0894;20460
uf100-0895;83919
uf100-0896;4756
uf100-0897;28464
uf100-0898;212575
uf100-0899;320
uf100-089;45012
uf100-08;32
uf100-0900;220
uf100-0901;2304
uf100-0902;3040
uf100-0903;1032
uf100-0904;216
uf100-0905;106188
uf100-0906;1104
uf100-0907;241040
uf100-0908;301168
uf100-0909;41993
uf100-090;41836
uf100-0910;32531
uf100-0911;45032
uf100-0912;4117
uf100-0913;3590
uf100-0914;320
uf100-0915;1080
uf100-0916;172
uf100-0917;136599
uf100-0918;4690
uf100-0919;22892
uf100-091;256
uf100-0920;1060
uf100-0921;97400
uf100-0922;106562
uf100-0923;52
uf100-0924;60
uf100-0925;50
uf100-0926;18712
uf100-0927;3668
uf100-0928;45477
uf100-0929;302940
uf100-092;168
uf100-0930;9580
uf100-0931;16744
uf100-0932;6452
uf100-0933;1104
uf100-0934;354
uf100-0935;564
uf100-0936;3579478
uf100-0937;808
uf100-0938;10398
uf100-0939;117408
uf100-093;51632
uf100-0940;2944
uf100-0941;170464
uf100-0942;105
uf100-0943;160
uf100-0944;672
uf100-0945;68
uf100-0946;9702
uf100-0947;116514
uf100-0948;21184
uf100-0949;320
uf100-094;827174
uf100-0950;192
uf100-0951;1842
uf100-0952;132
uf100-0953;2
uf100-0954;2389378
uf100-0955;1934
uf100-0956;3520
uf100-0957;904731
uf100-0958;27826
uf100-0959;392
uf100-095;708
uf100-0960;61044
uf100-0961;815379
uf100-0962;7584
uf100-0963;141902
uf100-0964;2960
uf100-0965;4650
uf100-0966;256
uf100-0967;127371
uf100-0968;832
uf100-0969;227409
uf100-096;510927
uf100-0970;1291119
uf100-0971;12012
uf100-0972;1136
uf100-0973;42998
uf100-0974;6400
uf100-0975;264
uf100-0976;1071
uf100-0977;792
uf100-0978;292794
uf100-0979;970
uf100-097;17726
uf100-0980;1792
uf100-0981;32
uf100-0982;69168
uf100-0983;2568
uf100-0984;1168
uf100-0985;40
uf100-0986;1476
uf100-0987;245444
uf100-0988;984
uf100-0989;24
uf100-098;1470554
uf100-0990;19024
uf100-0991;2416
uf100-0992;1686767
uf100-0993;273796
uf100-0994;402667
uf100-0995;144
uf100-0996;1936
uf100-0997;42512
uf100-0998;4600
uf100-0999;144
uf100-099;2024
uf100-09;360
